@id,Name,PublicCode,TransportMode,Centroid.Location.Latitude,Centroid.Location.Longitude,PostalAddress.AddressLine1,PostalAddress.Town
70281,Capitol Caltrain Station Northbound,70281,rail,37.284102,-121.841955,Capitol Caltrain Station Northbound,San Jose
70282,Capitol Caltrain Station Southbound,70282,rail,37.284062,-121.842037,Capitol Caltrain Station Southbound,San Jose
70291,Blossom Hill Caltrain Station Northbound,70291,rail,37.252422,-121.797643,Blossom Hill Caltrain Station Northbound,San Jose
70292,Blossom Hill Caltrain Station Southbound,70292,rail,37.252379,-121.797683,Blossom Hill Caltrain Station Southbound,San Jose
70301,Morgan Hill Caltrain Station Northbound,70301,rail,37.129363,-121.650244,Morgan Hill Caltrain Station Northbound,Morgan Hill
70302,Morgan Hill Caltrain Station Southbound,70302,rail,37.129321,-121.650304,Morgan Hill Caltrain Station Southbound,Morgan Hill
70311,San Martin Caltrain Station Northbound,70311,rail,37.085225,-121.610049,San Martin Caltrain Station Northbound,San Martin
70312,San Martin Caltrain Station Southbound,70312,rail,37.086653,-121.610936,San Martin Caltrain Station Southbound,San Martin
70321,Gilroy Caltrain Station Northbound,70321,rail,37.003538,-121.566088,Gilroy Caltrain Station Northbound,Gilroy
70322,Gilroy Caltrain Station Southbound,70322,rail,37.003485,-121.566225,Gilroy Caltrain Station Southbound,Gilroy
