id,Name,ParentStation,Latitude,Longitude,FromDate,ToDate,StopType
70051,San Bruno Caltrain Station Northbound,san_bruno,37.6304996012,-122.4115926041,2025-06-16T00:00:00-08:00,2026-04-01T23:59:00-08:00,onstreetBus
70052,San Bruno Caltrain Station Southbound,san_bruno,37.6304605129,-122.4117090507,2025-06-16T00:00:00-08:00,2026-04-01T23:59:00-08:00,onstreetBus
70131,San Carlos Caltrain Station Northbound,san_carlos,37.50805,-122.26015,2025-06-16T00:00:00-08:00,2026-04-01T23:59:00-08:00,onstreetBus
70132,San Carlos Caltrain Station Southbound,san_carlos,37.507933,-122.260266,2025-06-16T00:00:00-08:00,2026-04-01T23:59:00-08:00,onstreetBus
70011,San Francisco Caltrain Station Northbound,san_francisco,37.77639,-122.394992,2025-06-16T00:00:00-08:00,2026-04-01T23:59:00-08:00,onstreetBus
70012,San Francisco Caltrain Station Southbound,san_francisco,37.776348,-122.394935,2025-06-16T00:00:00-08:00,2026-04-01T23:59:00-08:00,onstreetBus
70261,San Jose Diridon Caltrain Station Northbound,sj_diridon,37.329239,-121.903011,2025-06-16T00:00:00-08:00,2026-04-01T23:59:00-08:00,onstreetBus
70262,San Jose Diridon Caltrain Station Southbound,sj_diridon,37.329231,-121.903173,2025-06-16T00:00:00-08:00,2026-04-01T23:59:00-08:00,onstreetBus
70311,San Martin Caltrain Station Northbound,san_martin,37.085225,-121.610049,2025-06-16T00:00:00-08:00,2026-04-01T23:59:00-08:00,onstreetBus
70312,San Martin Caltrain Station Southbound,san_martin,37.086653,-121.610936,2025-06-16T00:00:00-08:00,2026-04-01T23:59:00-08:00,onstreetBus
70091,San Mateo Caltrain Station Northbound,san_mateo,37.568087,-122.323851,2025-06-16T00:00:00-08:00,2026-04-01T23:59:00-08:00,onstreetBus
70092,San Mateo Caltrain Station Southbound,san_mateo,37.568294,-122.324092,2025-06-16T00:00:00-08:00,2026-04-01T23:59:00-08:00,onstreetBus
70241,Santa Clara Caltrain Station Northbound,santa_clara,37.353238,-121.93608,2025-06-16T00:00:00-08:00,2026-04-01T23:59:00-08:00,onstreetBus
70242,Santa Clara Caltrain Station Southbound,santa_clara,37.353189,-121.936135,2025-06-16T00:00:00-08:00,2026-04-01T23:59:00-08:00,onstreetBus
70041,South San Francisco Caltrain Station Northbound,south_sf,37.6559413948,-122.4049790512,2025-06-16T00:00:00-08:00,2026-04-01T23:59:00-08:00,onstreetBus
70042,South San Francisco Caltrain Station Southbound,south_sf,37.6559419334,-122.4049797097,2025-06-16T00:00:00-08:00,2026-04-01T23:59:00-08:00,onstreetBus
70221,Sunnyvale Caltrain Station Northbound,sunnyvale,37.378916,-122.031372,2025-06-16T00:00:00-08:00,2026-04-01T23:59:00-08:00,onstreetBus
70222,Sunnyvale Caltrain Station Southbound,sunnyvale,37.378789,-122.031423,2025-06-16T00:00:00-08:00,2026-04-01T23:59:00-08:00,onstreetBus
70271,Tamien Caltrain Station Northbound,tamien,37.31174,-121.883721,2025-06-16T00:00:00-08:00,2026-04-01T23:59:00-08:00,onstreetBus
70272,Tamien Caltrain Station Southbound,tamien,37.31175,-121.883999,2025-06-16T00:00:00-08:00,2026-04-01T23:59:00-08:00,onstreetBus
